idx, row, column, demarcated, area, solidity, eccentricity, equivalent_diameter, perimeter, degree, strength, betweenness
0, 62, 1073, False, 11294.0000, 0.9177, 0.7312, 119.9165, 446.3330, 0.0000, 0.0000, 0.0000
1, 145, 890, False, 39678.0000, 0.9456, 0.8724, 224.7657, 877.6610, 1.0000, 0.4601, 0.0000
2, 52, 2014, False, 7207.0000, 0.8517, 0.7926, 95.7927, 464.5584, 1.0000, 0.9865, 0.0000
3, 63, 2220, False, 7746.0000, 0.9552, 0.7984, 99.3102, 362.9777, 1.0000, 0.8446, 0.0000
4, 170, 1779, False, 39368.0000, 0.8937, 0.7916, 223.8859, 1030.6905, 0.0000, 0.0000, 0.0000
5, 108, 781, False, 6866.0000, 0.9257, 0.9249, 93.4990, 378.0315, 1.0000, 0.4601, 0.0000
6, 136, 1970, False, 6632.0000, 0.8572, 0.8276, 91.8919, 381.9838, 1.0000, 0.9865, 0.0000
7, 168, 664, False, 19646.0000, 0.9279, 0.9280, 158.1584, 641.4874, 2.0000, 1.4419, 0.0000
8, 137, 518, False, 7296.0000, 0.9102, 0.8743, 96.3823, 388.3919, 1.0000, 0.9357, 0.0000
9, 137, 11714, False, 8641.0000, 0.9699, 0.8737, 104.8907, 443.5046, 1.0000, 0.8583, 0.0000
10, 256, 11142, False, 84574.0000, 0.9586, 0.7520, 328.1508, 1341.7077, 0.0000, 0.0000, 0.0000
11, 295, 2866, False, 24425.0000, 0.9255, 0.9853, 176.3487, 930.7250, 0.0000, 0.0000, 0.0000
12, 150, 11823, False, 15099.0000, 0.8781, 0.6120, 138.6530, 621.0437, 2.0000, 1.5961, 0.0000
13, 246, 11530, False, 66187.0000, 0.9766, 0.5813, 290.2962, 1018.5483, 0.0000, 0.0000, 0.0000
14, 2926, 12713, False, 1562249.0000, 0.6051, 0.9981, 1410.3607, 17026.4986, 0.0000, 0.0000, 0.0000
15, 218, 2624, False, 8927.0000, 0.8487, 0.9812, 106.6124, 559.7300, 1.0000, 0.8250, 0.0000
16, 225, 1004, False, 16544.0000, 0.9875, 0.8681, 145.1361, 530.2153, 0.0000, 0.0000, 0.0000
17, 182, 585, False, 4485.0000, 0.9099, 0.8955, 75.5677, 303.1787, 2.0000, 1.6343, 0.0000
18, 213, 6540, False, 32970.0000, 0.8185, 0.9682, 204.8871, 1085.0164, 0.0000, 0.0000, 0.0000
